2023-03-04 23:44:32,321,321 root INFO Block: 626688 To 643072, Step block: 16384, Total transaction: 5096, Transaction ERC-721: 0, Crawled Transaction: 158640, Crawled Transaction ERC 721: 0
2023-03-04 23:44:39,466,466 root INFO Block: 643072 To 659456, Step block: 16384, Total transaction: 7800, Transaction ERC-721: 0, Crawled Transaction: 166440, Crawled Transaction ERC 721: 0
2023-03-04 23:44:48,550,550 root INFO Block: 659456 To 675840, Step block: 16384, Total transaction: 6831, Transaction ERC-721: 0, Crawled Transaction: 173271, Crawled Transaction ERC 721: 0
2023-03-04 23:44:56,185,185 root INFO Block: 675840 To 692224, Step block: 16384, Total transaction: 5430, Transaction ERC-721: 0, Crawled Transaction: 178701, Crawled Transaction ERC 721: 0
2023-03-04 23:45:12,167,167 root INFO Block: 692224 To 700416, Step block: 8192, Total transaction: 2783, Transaction ERC-721: 0, Crawled Transaction: 181484, Crawled Transaction ERC 721: 0
2023-03-04 23:45:12,168,168 root INFO Block: 700416 To 716800, Step block: 16384, Total transaction: 2783, Transaction ERC-721: 0, Crawled Transaction: 184267, Crawled Transaction ERC 721: 0
2023-03-04 23:45:32,466,466 root INFO Block: 716800 To 720896, Step block: 4096, Total transaction: 5743, Transaction ERC-721: 0, Crawled Transaction: 190010, Crawled Transaction ERC 721: 0
2023-03-04 23:45:39,282,282 root INFO Block: 720896 To 724992, Step block: 4096, Total transaction: 5395, Transaction ERC-721: 30, Crawled Transaction: 195405, Crawled Transaction ERC 721: 30
2023-03-04 23:45:56,010,10 root INFO Block: 724992 To 729088, Step block: 4096, Total transaction: 6388, Transaction ERC-721: 15, Crawled Transaction: 201793, Crawled Transaction ERC 721: 45
2023-03-04 23:46:04,772,772 root INFO Block: 729088 To 733184, Step block: 4096, Total transaction: 7034, Transaction ERC-721: 13, Crawled Transaction: 208827, Crawled Transaction ERC 721: 58
2023-03-04 23:46:14,385,385 root INFO Block: 733184 To 737280, Step block: 4096, Total transaction: 7529, Transaction ERC-721: 6, Crawled Transaction: 216356, Crawled Transaction ERC 721: 64
2023-03-04 23:46:25,571,571 root INFO Block: 737280 To 741376, Step block: 4096, Total transaction: 5335, Transaction ERC-721: 34, Crawled Transaction: 221691, Crawled Transaction ERC 721: 98
2023-03-04 23:46:30,872,872 root INFO Block: 741376 To 745472, Step block: 4096, Total transaction: 4974, Transaction ERC-721: 1, Crawled Transaction: 226665, Crawled Transaction ERC 721: 99
2023-03-04 23:46:38,735,735 root INFO Block: 745472 To 749568, Step block: 4096, Total transaction: 5232, Transaction ERC-721: 10, Crawled Transaction: 231897, Crawled Transaction ERC 721: 109
2023-03-04 23:46:49,147,147 root INFO Block: 749568 To 753664, Step block: 4096, Total transaction: 5357, Transaction ERC-721: 0, Crawled Transaction: 237254, Crawled Transaction ERC 721: 109
2023-03-04 23:47:02,203,203 root INFO Block: 753664 To 755712, Step block: 2048, Total transaction: 5627, Transaction ERC-721: 1, Crawled Transaction: 242881, Crawled Transaction ERC 721: 110
2023-03-04 23:47:07,872,872 root INFO Block: 755712 To 757760, Step block: 2048, Total transaction: 5245, Transaction ERC-721: 2, Crawled Transaction: 248126, Crawled Transaction ERC 721: 112
2023-03-04 23:47:15,480,480 root INFO Block: 757760 To 759808, Step block: 2048, Total transaction: 4857, Transaction ERC-721: 1, Crawled Transaction: 252983, Crawled Transaction ERC 721: 113
2023-03-04 23:47:25,193,193 root INFO Block: 759808 To 761856, Step block: 2048, Total transaction: 4551, Transaction ERC-721: 1, Crawled Transaction: 257534, Crawled Transaction ERC 721: 114
2023-03-04 23:47:34,640,640 root INFO Block: 761856 To 763904, Step block: 2048, Total transaction: 4421, Transaction ERC-721: 0, Crawled Transaction: 261955, Crawled Transaction ERC 721: 114
2023-03-04 23:47:41,679,679 root INFO Block: 763904 To 765952, Step block: 2048, Total transaction: 3668, Transaction ERC-721: 2, Crawled Transaction: 265623, Crawled Transaction ERC 721: 116
