2023-03-16 08:19:08,558,558 root INFO Block: 659455 To 675839, Step block: 16384, Total transaction: 6833, Transaction ERC-721: 0, Crawled Transaction: 173273, Crawled Transaction ERC 721: 0
2023-03-16 08:19:12,406,406 root INFO Block: 675839 To 692223, Step block: 16384, Total transaction: 5430, Transaction ERC-721: 0, Crawled Transaction: 178703, Crawled Transaction ERC 721: 0
2023-03-16 08:19:17,586,586 root INFO Block: 692223 To 700415, Step block: 8192, Total transaction: 2781, Transaction ERC-721: 0, Crawled Transaction: 181484, Crawled Transaction ERC 721: 0
2023-03-16 08:19:17,587,587 root INFO Block: 700415 To 716799, Step block: 16384, Total transaction: 2781, Transaction ERC-721: 0, Crawled Transaction: 184265, Crawled Transaction ERC 721: 0
2023-03-16 08:19:25,908,908 root INFO Block: 716799 To 720895, Step block: 4096, Total transaction: 5745, Transaction ERC-721: 0, Crawled Transaction: 190010, Crawled Transaction ERC 721: 0
2023-03-16 08:19:28,325,325 root INFO Block: 720895 To 724991, Step block: 4096, Total transaction: 5398, Transaction ERC-721: 30, Crawled Transaction: 195408, Crawled Transaction ERC 721: 30
2023-03-16 08:19:32,041,41 root INFO Block: 724991 To 729087, Step block: 4096, Total transaction: 6390, Transaction ERC-721: 15, Crawled Transaction: 201798, Crawled Transaction ERC 721: 45
2023-03-16 08:19:35,358,358 root INFO Block: 729087 To 733183, Step block: 4096, Total transaction: 7032, Transaction ERC-721: 13, Crawled Transaction: 208830, Crawled Transaction ERC 721: 58
2023-03-16 08:19:38,697,697 root INFO Block: 733183 To 737279, Step block: 4096, Total transaction: 7525, Transaction ERC-721: 6, Crawled Transaction: 216355, Crawled Transaction ERC 721: 64
2023-03-16 08:19:41,731,731 root INFO Block: 737279 To 741375, Step block: 4096, Total transaction: 5335, Transaction ERC-721: 34, Crawled Transaction: 221690, Crawled Transaction ERC 721: 98
2023-03-16 08:19:44,782,782 root INFO Block: 741375 To 745471, Step block: 4096, Total transaction: 4974, Transaction ERC-721: 1, Crawled Transaction: 226664, Crawled Transaction ERC 721: 99
2023-03-16 08:19:47,871,871 root INFO Block: 745471 To 749567, Step block: 4096, Total transaction: 5232, Transaction ERC-721: 10, Crawled Transaction: 231896, Crawled Transaction ERC 721: 109
2023-03-16 08:19:50,956,956 root INFO Block: 749567 To 753663, Step block: 4096, Total transaction: 5352, Transaction ERC-721: 0, Crawled Transaction: 237248, Crawled Transaction ERC 721: 109
2023-03-16 08:19:56,950,950 root INFO Block: 753663 To 755711, Step block: 2048, Total transaction: 5625, Transaction ERC-721: 1, Crawled Transaction: 242873, Crawled Transaction ERC 721: 110
2023-03-16 08:19:59,883,883 root INFO Block: 755711 To 757759, Step block: 2048, Total transaction: 5249, Transaction ERC-721: 2, Crawled Transaction: 248122, Crawled Transaction ERC 721: 112
2023-03-16 08:20:03,586,586 root INFO Block: 757759 To 759807, Step block: 2048, Total transaction: 4854, Transaction ERC-721: 1, Crawled Transaction: 252976, Crawled Transaction ERC 721: 113
2023-03-16 08:20:06,612,612 root INFO Block: 759807 To 761855, Step block: 2048, Total transaction: 4547, Transaction ERC-721: 1, Crawled Transaction: 257523, Crawled Transaction ERC 721: 114
2023-03-16 08:20:09,650,650 root INFO Block: 761855 To 763903, Step block: 2048, Total transaction: 4422, Transaction ERC-721: 0, Crawled Transaction: 261945, Crawled Transaction ERC 721: 114
2023-03-16 08:20:11,816,816 root INFO Block: 763903 To 765951, Step block: 2048, Total transaction: 3668, Transaction ERC-721: 2, Crawled Transaction: 265613, Crawled Transaction ERC 721: 116
2023-03-16 08:20:12,356,356 root INFO Block: 765951 To 770047, Step block: 4096, Total transaction: 3668, Transaction ERC-721: 2, Crawled Transaction: 269281, Crawled Transaction ERC 721: 118
2023-03-16 08:20:15,673,673 root INFO Block: 770047 To 774143, Step block: 4096, Total transaction: 6053, Transaction ERC-721: 2, Crawled Transaction: 275334, Crawled Transaction ERC 721: 120
2023-03-16 08:20:18,933,933 root INFO Block: 774143 To 778239, Step block: 4096, Total transaction: 6834, Transaction ERC-721: 4, Crawled Transaction: 282168, Crawled Transaction ERC 721: 124
2023-03-16 08:20:22,330,330 root INFO Block: 778239 To 782335, Step block: 4096, Total transaction: 7779, Transaction ERC-721: 1, Crawled Transaction: 289947, Crawled Transaction ERC 721: 125
2023-03-16 08:20:25,904,904 root INFO Block: 782335 To 786431, Step block: 4096, Total transaction: 8104, Transaction ERC-721: 8, Crawled Transaction: 298051, Crawled Transaction ERC 721: 133
2023-03-16 08:20:29,295,295 root INFO Block: 786431 To 790527, Step block: 4096, Total transaction: 7516, Transaction ERC-721: 0, Crawled Transaction: 305567, Crawled Transaction ERC 721: 133
2023-03-16 08:20:32,054,54 root INFO Block: 790527 To 794623, Step block: 4096, Total transaction: 7860, Transaction ERC-721: 2, Crawled Transaction: 313427, Crawled Transaction ERC 721: 135
2023-03-16 08:20:35,401,401 root INFO Block: 794623 To 798719, Step block: 4096, Total transaction: 5553, Transaction ERC-721: 2, Crawled Transaction: 318980, Crawled Transaction ERC 721: 137
2023-03-16 08:20:38,551,551 root INFO Block: 798719 To 802815, Step block: 4096, Total transaction: 5079, Transaction ERC-721: 1, Crawled Transaction: 324059, Crawled Transaction ERC 721: 138
2023-03-16 08:20:41,410,410 root INFO Block: 802815 To 806911, Step block: 4096, Total transaction: 5852, Transaction ERC-721: 1, Crawled Transaction: 329911, Crawled Transaction ERC 721: 139
2023-03-16 08:20:44,545,545 root INFO Block: 806911 To 811007, Step block: 4096, Total transaction: 6272, Transaction ERC-721: 3, Crawled Transaction: 336183, Crawled Transaction ERC 721: 142
2023-03-16 08:20:47,994,994 root INFO Block: 811007 To 815103, Step block: 4096, Total transaction: 7060, Transaction ERC-721: 3, Crawled Transaction: 343243, Crawled Transaction ERC 721: 145
2023-03-16 08:20:51,376,376 root INFO Block: 815103 To 819199, Step block: 4096, Total transaction: 6954, Transaction ERC-721: 2, Crawled Transaction: 350197, Crawled Transaction ERC 721: 147
2023-03-16 08:20:54,997,997 root INFO Block: 819199 To 823295, Step block: 4096, Total transaction: 7790, Transaction ERC-721: 0, Crawled Transaction: 357987, Crawled Transaction ERC 721: 147
2023-03-16 08:20:57,699,699 root INFO Block: 823295 To 827391, Step block: 4096, Total transaction: 5754, Transaction ERC-721: 0, Crawled Transaction: 363741, Crawled Transaction ERC 721: 147
2023-03-16 08:21:00,261,261 root INFO Block: 827391 To 831487, Step block: 4096, Total transaction: 6104, Transaction ERC-721: 1, Crawled Transaction: 369845, Crawled Transaction ERC 721: 148
2023-03-16 08:21:03,325,325 root INFO Block: 831487 To 835583, Step block: 4096, Total transaction: 6362, Transaction ERC-721: 0, Crawled Transaction: 376207, Crawled Transaction ERC 721: 148
2023-03-16 08:21:06,095,95 root INFO Block: 835583 To 839679, Step block: 4096, Total transaction: 7934, Transaction ERC-721: 0, Crawled Transaction: 384141, Crawled Transaction ERC 721: 148
2023-03-16 08:21:08,984,984 root INFO Block: 839679 To 843775, Step block: 4096, Total transaction: 7720, Transaction ERC-721: 0, Crawled Transaction: 391861, Crawled Transaction ERC 721: 148
2023-03-16 08:21:11,680,680 root INFO Block: 843775 To 847871, Step block: 4096, Total transaction: 7580, Transaction ERC-721: 1, Crawled Transaction: 399441, Crawled Transaction ERC 721: 149
2023-03-16 08:21:14,972,972 root INFO Block: 847871 To 851967, Step block: 4096, Total transaction: 8558, Transaction ERC-721: 0, Crawled Transaction: 407999, Crawled Transaction ERC 721: 149
2023-03-16 08:21:17,601,601 root INFO Block: 851967 To 856063, Step block: 4096, Total transaction: 6007, Transaction ERC-721: 1, Crawled Transaction: 414006, Crawled Transaction ERC 721: 150
2023-03-16 08:21:21,114,114 root INFO Block: 856063 To 860159, Step block: 4096, Total transaction: 6480, Transaction ERC-721: 0, Crawled Transaction: 420486, Crawled Transaction ERC 721: 150
